id,pays,code_insee,commune,departement,region,org_lon,org_lat,org_precision,org_methode,org_adresse,org_source,ctrl_lieu,ctrl_lon,ctrl_lat,ctrl_precision,drapeaux
2015-d75adca8-1,FR,60282,Gouvieux,60,32,2.4161,49.1900,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.4161,49.1900,commune,lieu_controle_inconnu
2015-17a5f3e5-1,FR,71263,Louhans-Châteaurenaud,71,27,5.2424,46.6344,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,5.2424,46.6344,commune,departement_contredit_par_ville|lieu_controle_inconnu
2015-5eb904d6-1,FR,71263,Louhans-Châteaurenaud,71,27,5.2424,46.6344,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,5.2424,46.6344,commune,departement_contredit_par_ville|lieu_controle_inconnu
2015-397b41f7-1,FR,34172,Montpellier,34,76,3.8742,43.6100,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.8742,43.6100,commune,lieu_controle_inconnu
2015-6b6bf490-1,FR,92051,Neuilly-sur-Seine,92,11,2.2651,48.8862,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.2651,48.8862,commune,lieu_controle_inconnu
2015-bea771da-1,FR,33063,Bordeaux,33,75,-0.5848,44.8624,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.5848,44.8624,commune,lieu_controle_inconnu
2015-085d39e5-1,FR,92023,Clamart,92,11,2.2518,48.7957,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2518,48.7957,commune,lieu_controle_inconnu
2015-d69783e9-1,FR,77122,Combs-la-Ville,77,11,2.5765,48.6602,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.5765,48.6602,commune,lieu_controle_inconnu
2015-d2ec273f-1,FR,74012,Annemasse,74,84,6.2476,46.1890,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,6.2476,46.1890,commune,lieu_controle_inconnu
2015-84282ba7-1,FR,67482,Strasbourg,67,44,7.7621,48.5691,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,7.7621,48.5691,commune,lieu_controle_inconnu
2015-667f4912-1,FR,67482,Strasbourg,67,44,7.7621,48.5691,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,7.7621,48.5691,commune,lieu_controle_inconnu
2015-5d6c6734-1,FR,92040,Issy-les-Moulineaux,92,11,2.2628,48.8240,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2628,48.8240,commune,lieu_controle_inconnu
2015-4a3931a2-1,FR,83137,Toulon,83,93,5.9334,43.1364,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.9334,43.1364,commune,lieu_controle_inconnu
2015-a8ce4531-1,FR,72181,Le Mans,72,52,0.1957,47.9819,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,0.1957,47.9819,commune,lieu_controle_inconnu
2015-c940c5ce-1,FR,72181,Le Mans,72,52,0.1957,47.9819,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,0.1957,47.9819,commune,lieu_controle_inconnu
2015-8caf9edf-1,FR,94058,Le Perreux-sur-Marne,94,11,2.5045,48.8433,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.5045,48.8433,commune,lieu_controle_inconnu
2015-5b2f19fc-1,FR,78358,Maisons-Laffitte,78,11,2.1533,48.9503,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.1533,48.9503,commune,lieu_controle_inconnu
2015-a46d7e76-1,FR,78358,Maisons-Laffitte,78,11,2.1533,48.9503,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.1533,48.9503,commune,lieu_controle_inconnu
2015-ddeb0509-1,FR,25527,Saint-Vit,25,27,5.8266,47.1882,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.8266,47.1882,commune,lieu_controle_inconnu
2015-7b206b4b-1,FR,51454,Reims,51,44,4.0551,49.2535,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.0551,49.2535,commune,lieu_controle_inconnu
2015-70805564-1,FR,83137,Toulon,83,93,5.9334,43.1364,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.9334,43.1364,commune,lieu_controle_inconnu
2015-75d91b45-1,FR,83137,Toulon,83,93,5.9334,43.1364,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.9334,43.1364,commune,lieu_controle_inconnu
2015-b90e27a8-1,FR,69123,Lyon,69,84,4.8351,45.7580,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.8351,45.7580,commune,lieu_controle_inconnu
2015-3b2c2451-1,FR,69123,Lyon,69,84,4.8351,45.7580,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.8351,45.7580,commune,lieu_controle_inconnu
2015-6924d831-1,FR,45208,Montargis,45,24,2.7388,47.9998,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.7388,47.9998,commune,lieu_controle_inconnu
2015-84af0b2c-1,FR,95527,Roissy-en-France,95,11,2.5188,49.0036,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.5188,49.0036,commune,lieu_controle_inconnu
2015-e250c185-1,FR,45145,Ferrières-en-Gâtinais,45,24,2.8122,48.0992,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.8122,48.0992,commune,lieu_controle_inconnu
2015-316e64b8-1,FR,60139,Chambly,60,32,2.2462,49.1743,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2462,49.1743,commune,lieu_controle_inconnu
2015-316e64b8-2,FR,60139,Chambly,60,32,2.2462,49.1743,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2462,49.1743,commune,lieu_controle_inconnu
2015-156daa05-1,FR,60139,Chambly,60,32,2.2462,49.1743,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2462,49.1743,commune,lieu_controle_inconnu
2015-5f6f33f6-1,FR,72181,Le Mans,72,52,0.1957,47.9819,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,0.1957,47.9819,commune,lieu_controle_inconnu
